Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL2,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lactate,1.34,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Fatty acids,1.34,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Triglyceride,1.36,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Triglyceride,1.36,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Triglyceride,1.36,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
2-hydroxyisobutyrate,1.36,,,,,
Lipids,1.38,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lipid,1.38,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lipid,1.38,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lipid,1.38,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Ethyl coumarin-carboxylate,1.39,Triplet,,Naturally occurring coumarin,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Fatty acids,1.41,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Lysine,1.45,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Isoleucine,1.45,Multiplet,,Metabolites,Miscelaneous list,Unknown
Isoleucine,1.45,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Isoleucine,1.46,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Penicillamine,1.46,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Alanine,1.46,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Alanine,1.4667,Doublet,"-14.366, -14.366",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Alanine,1.47,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lysine,1.47,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Alanine,1.47,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lysine,1.47,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Alanine,1.47,Doublet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Alanine,1.47,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Alanine,1.47,Doublet,,Metabolites,Miscelaneous list,Unknown
Lysine,1.47,Multiplet,,Metabolites,Miscelaneous list,Unknown
Alanine,1.47,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Lysine,1.47,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Isoleucine,1.47,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Alanine,1.48,Multiplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Alanine,1.48,Doublet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Alanine,1.48,Doublet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Alanine,1.48,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Alanine,1.48,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Alanine,1.48,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Alanine,1.48,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Alanine,1.48,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Alanine,1.48,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Alanine,1.48,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Alanine (decrease),1.48,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
Lysine,1.48,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Alanine,1.49,,,,,
Alanine,1.5,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
3-carboxamide derivative 2 (Coumarin),1.5,Doublet,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Depakine,1.5,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
N-acetylcitruline,1.52,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Saccharopine,1.53,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Penicillin,1.53,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Butyrate,1.56,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Naproxen,1.56,Doublet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Penicillin,1.56,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lipid,1.57,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lipid,1.57,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
β-1-glucuronide of (S)-Ketoprofen,1.58,Doublet,7.17,Anti-inflammatory,Ketoprofen triptic,Unknown
Arginine,1.589,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
β-1-glucuronide of (R)-Ketoprofen,1.59,Doublet,7.17,Anti-inflammatory,Ketoprofen triptic,Unknown
Lipids,1.59,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Triglycerides,1.6,,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Triglycerides,1.6,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Fatty acids,1.6,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Naproxen,1.6,Doublet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
DSS,1.62,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Leucine,1.63,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Arginine,1.63,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Arginine,1.63,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Leucine,1.63,Multiplet,,Metabolites,Miscelaneous list,Unknown
Arginine,1.63,Multiplet,,Metabolites,Miscelaneous list,Unknown
Arginine,1.63,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Leucine,1.63,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Arginine,1.634,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
α-keto-β-methyl-N-valerate,1.64,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
N-Acetylneuraminic acid (α anomer),1.65,Doublet of doublets,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Ethosuccimide,1.65,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Leucine,1.66,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Arginine,1.66,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Leucine,1.68,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Arginine,1.68,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Arginine,1.68,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Leucine,1.69,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Leucine,1.69,Multiplet,,Metabolites,Miscelaneous list,Unknown
Leucine,1.69,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Lysisne,1.69,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Arginine,1.698,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Leucine,1.7,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
α-keto-β-methyl-N-valerate,1.7,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Leucine,1.7,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Leucine,1.7,,,,,
Leucine,1.71,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Lysine,1.71,Quartet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Lysine,1.72,Quartet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Lysine,1.72,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lysine,1.72,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Lysine,1.72,Multiplet,,Metabolites,Miscelaneous list,Unknown
N-Acetylneuraminic acid (bound AcNeu2->6),1.72,Doublet of doublets,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Lysine,1.72,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Arginine,1.721,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Lysine,1.73,Multiplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Lysine,1.73,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Lipids,1.74,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lipid,1.74,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LActate,1.74,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lipid,1.74,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Arginine,1.775,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Spermine,1.78,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Lipid,1.8,Multiplet,,Metabolites,Miscelaneous list,Unknown
Lipid,1.8,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Lysine,1.84,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Lysine,1.85,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
N-Acetylneuraminic acid (β anomer),1.85,Doublet of doublets,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Thymine,1.85,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
